name	path	coverage	func_num
02791a41f0b4b9bdba59ce4ab25c2270acf634bfe15f958c1996703a4fdd98f3	/workspace/ella-master/ella-out/02791a41f0b4b9bdba59ce4ab25c2270acf634bfe15f958c1996703a4fdd98f3/	4.109406271	( 308 / 7495 )
02c02e2679a5c496efa198842bdb627c75efd2d12998d3a2e2cee8360b9d64aa	/workspace/ella-master/ella-out/02c02e2679a5c496efa198842bdb627c75efd2d12998d3a2e2cee8360b9d64aa/	4.316592098	( 685 / 15869 )
059183b440618be803f7ca4740106d886a6f3830fd5b30fc460033b6994534b9	/workspace/ella-master/ella-out/059183b440618be803f7ca4740106d886a6f3830fd5b30fc460033b6994534b9/	27.43660456	( 4079 / 14867 )
093e75a74d3555b0110121d89edd096dccbfcccd7692a705845537e6d1007fa9	/workspace/ella-master/ella-out/093e75a74d3555b0110121d89edd096dccbfcccd7692a705845537e6d1007fa9/	41.66666667	( 40 / 96 )
0ba78bc3c61e6b5c130ccf4a421d3c19e1c29ce65d76d0f23cfdf540e0487190	/workspace/ella-master/ella-out/0ba78bc3c61e6b5c130ccf4a421d3c19e1c29ce65d76d0f23cfdf540e0487190/	73.21428571	( 123 / 168 )
15c6a029a8ce6ca7242bcdec5ee084c650d5062e73ca16392418accf568305a3	/workspace/ella-master/ella-out/15c6a029a8ce6ca7242bcdec5ee084c650d5062e73ca16392418accf568305a3/	79.25925926	( 107 / 135 )
163cf41496ebc8e275dce2bd9aba098b717075cc824ee88c670c1739b8d59be1	/workspace/ella-master/ella-out/163cf41496ebc8e275dce2bd9aba098b717075cc824ee88c670c1739b8d59be1/	22.86416718	( 372 / 1627 )
1d4f18d1498f4018adb9a791dcaa404178100807e51031eb7031fe0847d4ddfb	/workspace/ella-master/ella-out/1d4f18d1498f4018adb9a791dcaa404178100807e51031eb7031fe0847d4ddfb/	24.44007059	( 7202 / 29468 )
20061d662a500ffcaf3adcca0d04964073b79946ee0ea0b09e97640556795416	/workspace/ella-master/ella-out/20061d662a500ffcaf3adcca0d04964073b79946ee0ea0b09e97640556795416/	0.6882797869	( 283 / 41117 )
2140bed673e5d25a68a579bc51aa2daacf383a436463c4d350b0338c7be760c6	/workspace/ella-master/ella-out/2140bed673e5d25a68a579bc51aa2daacf383a436463c4d350b0338c7be760c6/	35.93029792	( 3196 / 8895 )
2173201143c9c55cc710283ab828dce502c4dff0ecfef9c115ff0f42e30c925e	/workspace/ella-master/ella-out/2173201143c9c55cc710283ab828dce502c4dff0ecfef9c115ff0f42e30c925e/	12.47447104	( 1527 / 12241 )
21cfe5e7b7987b78a902a2a7baf3e1d6261c5ddf579285a8936189f9cc7770ec	/workspace/ella-master/ella-out/21cfe5e7b7987b78a902a2a7baf3e1d6261c5ddf579285a8936189f9cc7770ec/	58.36575875	( 150 / 257 )
240a1a102dedb159d671ad1758041ec96c4d7e3918a04afa2aa8df5f7050afd8	/workspace/ella-master/ella-out/240a1a102dedb159d671ad1758041ec96c4d7e3918a04afa2aa8df5f7050afd8/	2.468135795	( 1036 / 41975 )
28e9e1c00d8a4d174033f40753f7c6318621cad588b1608ccb124d8a201d891e	/workspace/ella-master/ella-out/28e9e1c00d8a4d174033f40753f7c6318621cad588b1608ccb124d8a201d891e/	4.316592098	( 685 / 15869 )
3d6fd7f49800286468d3740127478263ae2a99b7b7a910f4d843ac26dddf74a7	/workspace/ella-master/ella-out/3d6fd7f49800286468d3740127478263ae2a99b7b7a910f4d843ac26dddf74a7/	21.23139495	( 4907 / 23112 )
40c90ce86bd0d02d967cf8aec2b60f583baf03593c5a08d1bf4a13b3eed5da91	/workspace/ella-master/ella-out/40c90ce86bd0d02d967cf8aec2b60f583baf03593c5a08d1bf4a13b3eed5da91/	25.89127279	( 4815 / 18597 )
416e530fe951f554dbd9c2739ead7f2203073c271522476d54a7038b9db1f232	/workspace/ella-master/ella-out/416e530fe951f554dbd9c2739ead7f2203073c271522476d54a7038b9db1f232/	17.64329171	( 551 / 3123 )
47a4ffb144ec75b83bca698b5db0bb1b253bd9df899fcf979d584824f0ab8fc7	/workspace/ella-master/ella-out/47a4ffb144ec75b83bca698b5db0bb1b253bd9df899fcf979d584824f0ab8fc7/	18.40893504	( 1879 / 10207 )
496820beecc901d32876d38ea664543d1b3a525f01ed8879e206136e8614f12f	/workspace/ella-master/ella-out/496820beecc901d32876d38ea664543d1b3a525f01ed8879e206136e8614f12f/	3.769316552	( 1183 / 31385 )
567a3170da451e03f286aa83ec28ccb9c81cef34bc59292d59654c1ef2a6f809	/workspace/ella-master/ella-out/567a3170da451e03f286aa83ec28ccb9c81cef34bc59292d59654c1ef2a6f809/	0.1263725463	( 45 / 35609 )
5a3bd3ff2d9481e6bd29dfaa5df4e9ebf9827de65c977a601b7a73c450e06c57	/workspace/ella-master/ella-out/5a3bd3ff2d9481e6bd29dfaa5df4e9ebf9827de65c977a601b7a73c450e06c57/	57.82312925	( 170 / 294 )
5d3c4bac15d045125d5dd51c3f373151c58635517855bb618bc43d06de842d9d	/workspace/ella-master/ella-out/5d3c4bac15d045125d5dd51c3f373151c58635517855bb618bc43d06de842d9d/	11.93847656	( 489 / 4096 )
5eda3e81e2de022a7b502bf939e4beba8da9a0809a0e5adf6c1f33d51d99278a	/workspace/ella-master/ella-out/5eda3e81e2de022a7b502bf939e4beba8da9a0809a0e5adf6c1f33d51d99278a/	0.4377431907	( 36 / 8224 )
6af046ae878493c289049bfcc745a6a9c4609938dde000839bcaf7298cb8dde1	/workspace/ella-master/ella-out/6af046ae878493c289049bfcc745a6a9c4609938dde000839bcaf7298cb8dde1/	59.09090909	( 13 / 22 )
766da5f7951b55da3aefb5de4dbe15e1c505e26eca71b5085e428026de5cc3e9	/workspace/ella-master/ella-out/766da5f7951b55da3aefb5de4dbe15e1c505e26eca71b5085e428026de5cc3e9/	45.94017094	( 215 / 468 )
7b2910822f78d147c29b5a6f8e501340230275ead32b5e74366a369c397c5b65	/workspace/ella-master/ella-out/7b2910822f78d147c29b5a6f8e501340230275ead32b5e74366a369c397c5b65/	35.56603449	( 10333 / 29053 )
83ddb4b16fc7b6522bfa3430a2726c96fe04545ad54028e64210c8d4932b6734	/workspace/ella-master/ella-out/83ddb4b16fc7b6522bfa3430a2726c96fe04545ad54028e64210c8d4932b6734/	40.75871854	( 5458 / 13391 )
8839214d4fb5a56e1a44b272c225ec6644c35e93ee499836b9bc223ef67d430d	/workspace/ella-master/ella-out/8839214d4fb5a56e1a44b272c225ec6644c35e93ee499836b9bc223ef67d430d/	2.668938103	( 470 / 17610 )
8bdcd801f504c14fedf2b4c0212708f2179608bd8969714038249412f8f487ad	/workspace/ella-master/ella-out/8bdcd801f504c14fedf2b4c0212708f2179608bd8969714038249412f8f487ad/	8.545211241	( 447 / 5231 )
93da5d65e6389320ede265ce7e8bd417a8eb18dff58fedde5a3ec0b15088b48b	/workspace/ella-master/ella-out/93da5d65e6389320ede265ce7e8bd417a8eb18dff58fedde5a3ec0b15088b48b/	15.22527794	( 1301 / 8545 )
95c1ea52fd6c099878e3fcc871b6fb41ae0fe2ea5597869adf2ce42b763c3269	/workspace/ella-master/ella-out/95c1ea52fd6c099878e3fcc871b6fb41ae0fe2ea5597869adf2ce42b763c3269/	9.60740185	( 1921 / 19995 )
96fcfbe059241439988092f26999e9c95794b7d10b7eb2ce4d2e5746ca02e271	/workspace/ella-master/ella-out/96fcfbe059241439988092f26999e9c95794b7d10b7eb2ce4d2e5746ca02e271/	38.41193712	( 7208 / 18765 )
9a95ba3aca953f9e61cb143f08313d02c7bc848578907e3b62bc4db66fbef22e	/workspace/ella-master/ella-out/9a95ba3aca953f9e61cb143f08313d02c7bc848578907e3b62bc4db66fbef22e/	2.488284602	( 377 / 15151 )
9ebf800d2a5eafa320adca343baa9c23b2a564528ce4b4db5493170b07596907	/workspace/ella-master/ella-out/9ebf800d2a5eafa320adca343baa9c23b2a564528ce4b4db5493170b07596907/	11.27063437	( 1782 / 15811 )
9fd3c00491628aa4912a0bd6426003acdfcfa27fcb4567a98a4fd7d9201ea960	/workspace/ella-master/ella-out/9fd3c00491628aa4912a0bd6426003acdfcfa27fcb4567a98a4fd7d9201ea960/	6.658450967	( 1783 / 26778 )
_workspace_art_design_12_com.quarzo.paintmandalas.apk	/workspace/ella-master/ella-out/_workspace_art_design_12_com.quarzo.paintmandalas.apk/	12.89551219	( 3020 / 23419 )
_workspace_art_design_12_com.tattoo.maker.design.app.apk	/workspace/ella-master/ella-out/_workspace_art_design_12_com.tattoo.maker.design.app.apk/	8.580414437	( 3383 / 39427 )
_workspace_art_design_3_com.SpartanApps.AutoGamingLogoMaker.apk	/workspace/ella-master/ella-out/_workspace_art_design_3_com.SpartanApps.AutoGamingLogoMaker.apk/	12.90732848	( 3755 / 29092 )
_workspace_auto_t300_10_ru.alexko.regionalcodes.apk	/workspace/ella-master/ella-out/_workspace_auto_t300_10_ru.alexko.regionalcodes.apk/	62.60869565	( 72 / 115 )
_workspace_auto_t400_12_com.bestcarpictures.bcw.apk	/workspace/ella-master/ella-out/_workspace_auto_t400_12_com.bestcarpictures.bcw.apk/	1.180926916	( 371 / 31416 )
_workspace_auto_t400_12_com.repuvemx.consulta.apk	/workspace/ella-master/ella-out/_workspace_auto_t400_12_com.repuvemx.consulta.apk/	4.679328379	( 340 / 7266 )
_workspace_auto_t400_13_com.ProcessGames.X5DriftSimulator.apk	/workspace/ella-master/ella-out/_workspace_auto_t400_13_com.ProcessGames.X5DriftSimulator.apk/	2.902155887	( 35 / 1206 )
_workspace_auto_t400_13_com.carbikeloans.loans.apk	/workspace/ella-master/ella-out/_workspace_auto_t400_13_com.carbikeloans.loans.apk/	2.55560814	( 162 / 6339 )
_workspace_auto_t400_13_com.fortunestudios.battlehelicopterrescue.apk	/workspace/ella-master/ella-out/_workspace_auto_t400_13_com.fortunestudios.battlehelicopterrescue.apk/	0.729746444	( 59 / 8085 )
_workspace_auto_t400_13_kb2.soft.fuelmanager.apk	/workspace/ella-master/ella-out/_workspace_auto_t400_13_kb2.soft.fuelmanager.apk/	8.302881315	( 3749 / 45153 )
_workspace_auto_t400_2_com.gigil.drive.simulation.roadconstruction.apps.apk	/workspace/ella-master/ella-out/_workspace_auto_t400_2_com.gigil.drive.simulation.roadconstruction.apps.apk/	2.596491228	( 296 / 11400 )
_workspace_auto_t400_2_com.oprex.nopol.apk	/workspace/ella-master/ella-out/_workspace_auto_t400_2_com.oprex.nopol.apk/	17.36066395	( 4853 / 27954 )
_workspace_auto_t400_2_us.car.remote.toolmakers.apk	/workspace/ella-master/ella-out/_workspace_auto_t400_2_us.car.remote.toolmakers.apk/	13.43837725	( 2968 / 22086 )
_workspace_auto_t400_3_com.andromo.dev498527.app570067.apk	/workspace/ella-master/ella-out/_workspace_auto_t400_3_com.andromo.dev498527.app570067.apk/	0.005819705523	( 3 / 51549 )
_workspace_auto_t400_5_com.fortunestudios.chingchi.tuktuk.driver.apk	/workspace/ella-master/ella-out/_workspace_auto_t400_5_com.fortunestudios.chingchi.tuktuk.driver.apk/	7.428249859	( 396 / 5331 )
_workspace_beautyT100_beautyT200_beautyT300_beautyT400_bookT100_bookT200_bookT300_10_egw.estate.apk	/workspace/ella-master/ella-out/_workspace_beautyT100_beautyT200_beautyT300_beautyT400_bookT100_bookT200_bookT300_10_egw.estate.apk/	4.495089398	( 714 / 15884 )
_workspace_bookT4_bussiT1234_11_com.uchimforex.app.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_11_com.uchimforex.app.apk/	5.951494522	( 2238 / 37604 )
_workspace_bookT4_bussiT1234_11_com.xtreme.Military.IGI.Commando3D.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_11_com.xtreme.Military.IGI.Commando3D.apk/	1.781296388	( 36 / 2021 )
_workspace_bookT4_bussiT1234_16_air.bahraniapps.comicpuppetgifmaker.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_16_air.bahraniapps.comicpuppetgifmaker.apk/	6.411323897	( 154 / 2402 )
_workspace_bookT4_bussiT1234_16_com.at.meme.maker.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_16_com.at.meme.maker.apk/	22.86860582	( 456 / 1994 )
_workspace_bookT4_bussiT1234_18_com.appmag.endless.temple.princessfinaljungleozrunfrozen.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_18_com.appmag.endless.temple.princessfinaljungleozrunfrozen.apk/	0.3847798204	( 36 / 9356 )
_workspace_bookT4_bussiT1234_18_com.garciaapps.botoesdememe.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_18_com.garciaapps.botoesdememe.apk/	14.80822631	( 3413 / 23048 )
_workspace_bookT4_bussiT1234_27_com.hutappid.catstickers.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_27_com.hutappid.catstickers.apk/	1.824864865	( 422 / 23125 )
_workspace_bookT4_bussiT1234_27_com.irongate.webtoon.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_27_com.irongate.webtoon.apk/	6.030865349	( 2587 / 42896 )
_workspace_bookT4_bussiT1234_29_air.bahraniapps.expressivecomiccreator.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_29_air.bahraniapps.expressivecomiccreator.apk/	6.329634196	( 154 / 2433 )
_workspace_bookT4_bussiT1234_29_com.light.speed.robot.hero.gangster.crime.city.game.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_29_com.light.speed.robot.hero.gangster.crime.city.game.apk/	0.1498993533	( 35 / 23349 )
_workspace_bookT4_bussiT1234_29_com.midtowncomics.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_29_com.midtowncomics.apk/	12.27528844	( 3660 / 29816 )
_workspace_bookT4_bussiT1234_29_nightcrawer.colorbynumbers.mangapixelart.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_29_nightcrawer.colorbynumbers.mangapixelart.apk/	0.004015096764	( 1 / 24906 )
_workspace_bookT4_bussiT1234_7_com.alkitabku.android.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_7_com.alkitabku.android.apk/	8.113354037	( 2299 / 28336 )
_workspace_bookT4_bussiT1234_9_com.damiapp.softdatacable.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_9_com.damiapp.softdatacable.apk/	26.43227123	( 1684 / 6371 )
_workspace_bookT4_bussiT1234_9_com.droidkapps.seumadrugawidget.full.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_9_com.droidkapps.seumadrugawidget.full.apk/	18.28040279	( 236 / 1291 )
_workspace_bookT4_bussiT1234_9_com.zzangcartoon17.apk	/workspace/ella-master/ella-out/_workspace_bookT4_bussiT1234_9_com.zzangcartoon17.apk/	6.528640442	( 473 / 7245 )
_workspace_business_100_1_org.intoorbit.spectrum.apk	/workspace/ella-master/ella-out/_workspace_business_100_1_org.intoorbit.spectrum.apk/	75.15151515	( 372 / 495 )
_workspace_dating_100_4_com.asiandate.apk	/workspace/ella-master/ella-out/_workspace_dating_100_4_com.asiandate.apk/	14.16940437	( 3968 / 28004 )
_workspace_dating_100_5_com.antiland.apk	/workspace/ella-master/ella-out/_workspace_dating_100_5_com.antiland.apk/	11.40554634	( 4812 / 42190 )
_workspace_dating_100_9_com.social.onenight.apk	/workspace/ella-master/ella-out/_workspace_dating_100_9_com.social.onenight.apk/	17.74410497	( 6464 / 36429 )
_workspace_edu_enter_event_house_lib_media_11_com.universal.tv.remote.control.all.tv.controller.apk	/workspace/ella-master/ella-out/_workspace_edu_enter_event_house_lib_media_11_com.universal.tv.remote.control.all.tv.controller.apk/	9.686019797	( 3415 / 35257 )
