com.slicelife.storefront,Slice: Pizza Delivery/Pick Up,6.12.0,https://d.apkpure.com/b/APK/com.slicelife.storefront?version=latest
com.grability.rappi,Rappi,Varies with device,https://d.apkpure.com/b/APK/com.grability.rappi?version=latest
org.pleinair.bojanglesmobile,Bojangles,1.4.1,https://d.apkpure.com/b/APK/org.pleinair.bojanglesmobile?version=latest
com.totalwine.app.store,Total Wine & More,7.3.1,https://d.apkpure.com/b/APK/com.totalwine.app.store?version=latest
com.instacart.client,Instacart-Get groceries today,7.49.0,https://d.apkpure.com/b/APK/com.instacart.client?version=latest
wb.mobile.cx.client.droid,Whataburger,5.1.0,https://d.apkpure.com/b/APK/wb.mobile.cx.client.droid?version=latest
com.olo.dairyqueen.production,Dairy Queen®,3.1.15,https://d.apkpure.com/b/APK/com.olo.dairyqueen.production?version=latest
com.subway.mobile.subwayapp03,Subway®,29.25.0,https://d.apkpure.com/b/APK/com.subway.mobile.subwayapp03?version=latest
com.paytronix.client.android.app.gpm,fas REWARDS®,23.8.2023040301,https://d.apkpure.com/b/APK/com.paytronix.client.android.app.gpm?version=latest
com.chownow.discover,ChowNow: Local Food Ordering,1.41.0,https://d.apkpure.com/b/APK/com.chownow.discover?version=latest
com.apptionlabs.meater_app,MEATER® Smart Meat Thermometer,3.1.8,https://d.apkpure.com/b/APK/com.apptionlabs.meater_app?version=latest
com.foodient.whisk,Whisk: Recipes & Meal Planner,1.70.0,https://d.apkpure.com/b/APK/com.foodient.whisk?version=latest
com.anthemventures.secretmenu,Starbucks Secret Menu: Drinks,1.5.7,https://d.apkpure.com/b/APK/com.anthemventures.secretmenu?version=latest
com.Caseys.finder,Casey's,8.2,https://d.apkpure.com/b/APK/com.Caseys.finder?version=latest
com.speedway.mobile,Speedway Fuel & Speedy Rewards,6.2,https://d.apkpure.com/b/APK/com.speedway.mobile?version=latest
com.redrobin.appstore,Red Robin,1.11.1,https://d.apkpure.com/b/APK/com.redrobin.appstore?version=latest
com.tacobell.ordering,Taco Bell Fast Food & Delivery,8.18.0,https://d.apkpure.com/b/APK/com.tacobell.ordering?version=latest
digital.rbi.timhortons,Tim Hortons,7.0.97,https://d.apkpure.com/b/APK/digital.rbi.timhortons?version=latest
com.relevantmobile.texasroadhouse,Texas Roadhouse,5.14.0,https://d.apkpure.com/b/APK/com.relevantmobile.texasroadhouse?version=latest
com.greenchef.GreenChef,Green Chef: Healthy Recipes,1.112.0,https://d.apkpure.com/b/APK/com.greenchef.GreenChef?version=latest
com.tillster.frd_us_mobile,Freddy’s,23.2.9,https://d.apkpure.com/b/APK/com.tillster.frd_us_mobile?version=latest
com.pandaexpress.app,Panda Express,4.2.11,https://d.apkpure.com/b/APK/com.pandaexpress.app?version=latest
com.bobbyapproved,Bobby Approved,1.0.7,https://d.apkpure.com/b/APK/com.bobbyapproved?version=latest
com.mcdo.mcdonalds,McDonald's Offers and Delivery,3.25.0,https://d.apkpure.com/b/APK/com.mcdo.mcdonalds?version=latest
crumbl.cookies,Crumbl Cookies,5.3.9,https://d.apkpure.com/b/APK/crumbl.cookies?version=latest
com.olo.papamurphys,Papa Murphy’s Pizza,23.01.2023020301,https://d.apkpure.com/b/APK/com.olo.papamurphys?version=latest
com.postmates.android,Postmates - Food Delivery,6.159.10000,https://d.apkpure.com/b/APK/com.postmates.android?version=latest
com.paytronix.client.android.app.checkersandrallys,Checkers & Rally's,22.22.2022111701,https://d.apkpure.com/b/APK/com.paytronix.client.android.app.checkersandrallys?version=latest
com.panera.bread,Panera Bread,4.69.1,https://d.apkpure.com/b/APK/com.panera.bread?version=latest
com.papajohns.android,Papa Johns Pizza & Delivery,4.69.2,https://d.apkpure.com/b/APK/com.papajohns.android?version=latest
com.chipotle.ordering,Chipotle - Fresh Food Fast,10.21.0,https://d.apkpure.com/b/APK/com.chipotle.ordering?version=latest
